TransactionID,FraudIndicator,Category,TransactionAmount,AnomalyScore,Timestamp,MerchantID,Amount,CustomerID,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag
1,0,Other,79.41360746,0.686699464,1/1/2022 0:00,2701,55.53033443,1952,Customer 1952,50,Address 1952,2869.689912,8/9/2024,0
895,0,Food,90.42202597,0.040817165,2/7/2022 6:00,2149,53.68389809,1952,Customer 1952,50,Address 1952,2869.689912,8/9/2024,0
2,0,Online,12.05308715,0.081748871,1/1/2022 1:00,2070,12.88118019,1027,Customer 1027,46,Address 1027,9527.947107,1/27/2022,0
3,0,Travel,33.31035719,0.02385683,1/1/2022 2:00,2238,50.17632152,1955,Customer 1955,34,Address 1955,9288.355525,8/12/2024,0
544,0,Retail,20.29534792,0.476812409,1/23/2022 15:00,2643,52.99118399,1955,Customer 1955,34,Address 1955,9288.355525,8/12/2024,0
4,0,Travel,46.12111729,0.876994348,1/1/2022 3:00,2879,41.63400105,1796,Customer 1796,33,Address 1796,5588.049942,3/6/2024,0
109,0,Food,66.5143718,0.782427746,1/5/2022 12:00,2508,48.73795925,1796,Customer 1796,33,Address 1796,5588.049942,3/6/2024,0
594,0,Other,10.1432748,0.12327813,1/25/2022 17:00,2176,22.01321045,1796,Customer 1796,33,Address 1796,5588.049942,3/6/2024,0
985,0,Online,99.52235673,0.85895997,2/11/2022 0:00,2010,87.01161859,1796,Customer 1796,33,Address 1796,5588.049942,3/6/2024,0
5,0,Other,54.05161801,0.034058773,1/1/2022 4:00,2966,78.12285327,1946,Customer 1946,18,Address 1946,7324.785332,8/3/2024,0
6,0,Food,34.54513807,0.121172899,1/1/2022 5:00,2757,86.94708413,1204,Customer 1204,45,Address 1204,3152.247787,7/23/2022,0
550,0,Food,31.61403546,0.952755619,1/23/2022 21:00,2329,82.00373953,1204,Customer 1204,45,Address 1204,3152.247787,7/23/2022,0
7,0,Food,55.38311282,0.109891676,1/1/2022 6:00,2096,51.14709648,1311,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0
151,0,Retail,91.20674787,0.698394497,1/7/2022 6:00,2920,46.26565187,1311,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0
335,0,Online,94.06588629,0.404160976,1/14/2022 22:00,2919,84.74839338,1311,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0
376,0,Food,13.2876421,0.41106932,1/16/2022 15:00,2645,30.41243739,1311,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0
834,0,Online,97.85743756,0.890637165,2/4/2022 17:00,2154,38.98155367,1311,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0
8,0,Travel,17.85587786,0.780534207,1/1/2022 7:00,2493,56.16398431,1693,Customer 1693,27,Address 1693,8765.035861,11/24/2023,0
9,1,Retail,75.6599445,0.010470905,1/1/2022 8:00,2612,37.18241172,1347,Customer 1347,20,Address 1347,8935.007146,12/13/2022,0
10,0,Other,67.93187884,0.02937627,1/1/2022 9:00,2638,17.24540904,1574,Customer 1574,55,Address 1574,5541.197921,7/28/2023,0
140,0,Travel,44.40597074,0.781759019,1/6/2022 19:00,2180,36.9412543,1574,Customer 1574,55,Address 1574,5541.197921,7/28/2023,0
11,0,Other,23.89562271,0.083455395,1/1/2022 10:00,2007,86.18094791,1424,Customer 1424,37,Address 1424,4344.549864,2/28/2023,0
364,1,Travel,78.34675384,0.830407202,1/16/2022 3:00,2929,61.13653202,1424,Customer 1424,37,Address 1424,4344.549864,2/28/2023,0
675,0,Other,76.00299891,0.953421536,1/29/2022 2:00,2511,34.24003152,1424,Customer 1424,37,Address 1424,4344.549864,2/28/2023,0
701,0,Online,61.3052632,0.198231003,1/30/2022 4:00,2489,39.79126316,1424,Customer 1424,37,Address 1424,4344.549864,2/28/2023,0
756,0,Retail,17.04814954,0.284793249,2/1/2022 11:00,2012,36.37560298,1424,Customer 1424,37,Address 1424,4344.549864,2/28/2023,0
