,TransactionID,FraudIndicator,Category,TransactionAmount,AnomalyScore,Timestamp,MerchantID,Amount,CustomerID,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag
0,1,0,Travel,76.57888267880277,0.7253705590724056,2022-01-01 00:00:00,23681,99.49337636383216,19171,Customer 19171,52,Address 19171,5627.003369129419,2047-02-09,0
1,2,1,Travel,97.15660974568844,0.81003847214403,2022-01-01 01:00:00,23676,37.20899804998007,14248,Customer 14248,48,Address 14248,4679.538676040811,2033-08-18,0
2,7100,0,Online,32.28043742166053,0.0761813716010412,2022-10-23 19:00:00,29840,51.70662882807318,14248,Customer 14248,48,Address 14248,4679.538676040811,2033-08-18,0
3,3,0,Online,41.61989223201632,0.7529458953682647,2022-01-01 02:00:00,22571,39.944972240896966,15353,Customer 15353,25,Address 15353,8167.726250364603,2036-08-27,0
4,1163,0,Retail,51.51138581183955,0.1878203828696573,2022-02-18 10:00:00,27510,29.549851546830222,15353,Customer 15353,25,Address 15353,8167.726250364603,2036-08-27,0
5,4,0,Travel,13.386618489968551,0.1273904015014126,2022-01-01 03:00:00,23320,26.265983640680457,15576,Customer 15576,40,Address 15576,2045.5784521883195,2037-04-07,0
6,221,0,Retail,66.47050459059793,0.2591577930696831,2022-01-10 04:00:00,26652,93.25615441919425,15576,Customer 15576,40,Address 15576,2045.5784521883195,2037-04-07,0
7,6410,0,Food,60.57397798730608,0.1233533089557219,2022-09-25 01:00:00,21790,48.75097756307071,15576,Customer 15576,40,Address 15576,2045.5784521883195,2037-04-07,0
8,9680,0,Travel,30.930979617173467,0.0547670277147545,2023-02-08 07:00:00,24739,91.38804737112724,15576,Customer 15576,40,Address 15576,2045.5784521883195,2037-04-07,0
9,5,0,Retail,25.917585930491224,0.4377386108146445,2022-01-01 04:00:00,20074,40.58100876200053,10810,Customer 10810,21,Address 10810,1770.562666456182,2024-03-20,0
10,6,0,Online,14.558359323117244,0.6602521606297252,2022-01-01 05:00:00,26080,62.52457729560944,16188,Customer 16188,38,Address 16188,9580.921718186508,2038-12-10,0
11,7,0,Online,52.27450767895034,0.4948417675126212,2022-01-01 06:00:00,23470,80.62242317659253,15118,Customer 15118,21,Address 15118,9215.152919651528,2036-01-05,0
12,6601,0,Online,95.64882493664324,0.0145263154952263,2022-10-03 00:00:00,28606,74.57923392998647,15118,Customer 15118,21,Address 15118,9215.152919651528,2036-01-05,0
13,8,0,Travel,83.90372934592226,0.3700037343774648,2022-01-01 07:00:00,28238,51.64569558237218,13453,Customer 13453,40,Address 13453,2078.057880672264,2031-06-15,0
14,9,0,Retail,25.980453658044134,0.1352568463739363,2022-01-01 08:00:00,28210,37.76155935007306,18810,Customer 18810,58,Address 18810,4467.949292885503,2046-02-13,0
15,7931,0,Food,79.63351278635993,0.4047334529820452,2022-11-27 10:00:00,25132,52.116001401328674,18810,Customer 18810,58,Address 18810,4467.949292885503,2046-02-13,0
16,9529,0,Travel,22.6911961396019,0.2857768813364608,2023-02-02 00:00:00,26208,11.190692939521757,18810,Customer 18810,58,Address 18810,4467.949292885503,2046-02-13,0
17,10,0,Other,86.46868575682484,0.4275074269023219,2022-01-01 09:00:00,22342,55.73560358181689,14640,Customer 14640,54,Address 14640,4362.415154178303,2034-09-14,0
18,2679,1,Retail,96.860472654484,0.2906988647087429,2022-04-22 14:00:00,29826,46.53366844427587,14640,Customer 14640,54,Address 14640,4362.415154178303,2034-09-14,0
19,11,0,Food,27.64140039017454,0.4422318990722637,2022-01-01 10:00:00,22003,59.309225625161794,15127,Customer 15127,61,Address 15127,4924.214735536962,2036-01-14,0
20,7662,0,Online,83.27236891183765,0.5483334068410183,2022-11-16 05:00:00,23926,97.79661454442346,15127,Customer 15127,61,Address 15127,4924.214735536962,2036-01-14,0
